Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
RF30 (Foundation Run),Run,5:00 in Zone 1 1:00:00 in Zone 2,1.08333333333333,,2023-06-01,Note the slight increase in the duration of today's Foundation Run relative to prior ones.,11973.330078125,,,,,1.1114866733551,2.99200010299683,,167,,151,166,,,0.862088648505769,91.74,2,12,20,33,0,0,0,,,,,,,,,,,,,,,
LIR6 (Lactate Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 10 x 0:30 in Zone 4/0:15 in Zone 1 3:00 in Zone 1 10 x 0:30 in Zone 4/0:15 in Zone 1 3:00 in Zone 1 10 x 0:30 in Zone 4/0:15 in Zone 1 20:00 in Zone 1,1.14166666666667,,2023-06-02,"Lactate Intervals Runs are designed to boost aerobic capacity (aka VO2max), which is the most important physiological underpinning of running performance. This particular format was developed by exercise scientists at Inland Norway University as a way to increase the amount of time an athlete is able to spend near VO2max intensity within a single session without becoming exhausted. Lactate Intervals target Zone 4, which is fairly broad. You'll get the most benefit if you aim for a pace you could sustain for 15 minutes in race conditions, which will put you close to the middle of the zone. Because both the intervals and the recoveries are so short in this workout, pacing can be tricky. Don't worry--you'll get the hang of it as you go.",12992.8603515625,,,,,1.1424355506897,3.15899991989136,,172,,147,183,,,0.889326279459945,100.48,10,30,7,3,4,11,5,,,,,,,,,,,,,,,3
RRe11 (Recovery Run),Run,25:00 in Zone 1,0.416666666666667,,2023-06-02,"It's no accident that, whereas professional cyclists ride their bikes just once a day, professional cyclists run twice most days. The reason is that, as a high-impact activity, running is hard on the body, and doing two shorter runs in a day rather than one longer run makes the stress of high-volume run training slightly more tolerable.",1718.53002929688,,,,,0.183369442820549,2.6029999256134,,164,,138,152,,,0.791920709626095,12.21,2,6,3,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-03,"The average recreational runner does less than 50 percent of their running at low intensity, whereas most professional runners do about 80 percent of their running at low intensity. Research has shown that recreational runners improve more when they switch from a typical 50/50 intensity balance to a pro-style 80/20 balance. This training plan features an 80/20 balance.",10020.259765625,,,,,1.00037562847137,2.78200006484985,,169,,145,166,,,0.840535811231308,78.33,7,21,15,17,1,0,0,,,,,,,,,,,,,,,
RHM3 (Half-Marathon Pace Run),Run,1 km in Zone 1 4 km in Zone 2 3 x (3 km @ HMP/0.1 km in Zone 1) 5 km in Zone 1,1.87138888888889,19300,2023-06-04,"Half-Marathon Pace Runs offer essential practice at race pace during half-marathon training, but are also a useful fitness builder in training for shorter and longer events. Although the half-marathon pace (HMP) segments in this run target Zone 3, your HMP may fall outside this range, so do your best to complete the segments at a pace you could sustain for a half marathon in race conditions regardless of zone. Unlike most 80/20 workouts, this one is distance-based rather than time-based because its job is to give runners of all ability levels equal preparation for the half-marathon race distance. Any time associated with this session is a broad estimate. Note that the 0.1 km Zone 1 segment following each HMP segment is actually intended as passive rest, so just walk for 100 meters.",19306.51953125,,,,,1.79101622104645,2.99399995803833,,174,,154,184,,,0.856613689092276,147.73,7,28,23,15,3,10,21,,,,,,,,,,,,,,,
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-06-05,,6531.60009765625,,,,,0.669788062572479,2.70900011062622,,167,,142,158,,,0.751051209864059,41.47,6,14,18,3,0,0,0,,,,,,,,,,,,,,,
OUR9 (Over/Under Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 4 x (3:00 in Zone 3/3:00 in Zone Y/3:00 in Zone 1) 20:00 in Zone 1,1.26666666666667,,2023-06-06,"Over/Under Intervals Runs feature intervals in which the intensity fluctuates between slightly above and slightly below the lactate threshold (LT). The harder segments target Zone Y, which occupies the small space between Zone 3 and Zone 4, while the easier segments target Zone 3, whose upper limit aligns with LT. Like Tempo Runs and other runs that directly target LT, Over/Under Intervals develop the ability to run relaxed and efficiently at moderate speeds, but their variable-pace format offers the additional benefit of teaching the body to recover from a harder effort while still running somewhat aggressively. In doing this or any Over/Under Intervals Run, focus on oscillating gently around the high end of Zone 3, going from just below it in the Zone 3 segments to just above it in the Zone Y segments.",14650.9599609375,,,,,1.26765024662018,3.21000003814697,,172,,155,180,,,0.870771062173996,107.15,6,10,20,15,7,11,7,,,,,,,,,,,,,,,
RRe12 (Recovery Run),Run,30:00 in Zone 1,0.5,,2023-06-06,The duration of your second runs increases from 25 to 30 minutes this week.,620.369995117188,,,,,0.0823425054550171,2.09299993515015,,145,,132,151,,,0.536896335279945,2.48,3,1,2,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-07,At no point during any Foundation Run should your rate of perceived effort (RPE) exceed 4 on a 1-10 scale.,10531.2998046875,,,,,1.00215411186218,2.91899991035461,,166,,149,170,,,0.798188379918299,70.72,2,14,28,14,1,2,0,,,,,,,,,,,,,,,7
RF30 (Foundation Run),Run,5:00 in Zone 1 1:00:00 in Zone 2,1.08333333333333,,2023-06-08,"If possible, do at least one Foundation Run per week on a dirt trail or other softer surface. This will slightly reduce wear and tear on your legs and the variation may also stimulate subtle improvements in your running form.",6323.27001953125,,,,,0.613089740276337,2.86500000953674,,166,,149,163,,,0.785819565874799,41.47,1,3,26,6,0,0,0,,,,,,,,,,,,,,,
R5K6 (5K Pace Intervals),Run,1 km in Zone 1 3 km in Zone 2 6 x (0.8 km @ 5KP/0.1 km in Zone 1) 4 km in Zone 1,1.24527777777778,13400,2023-06-09,"5K Pace Intervals offer essential practice at race pace during 5K training but are also a useful fitness builder in training for shorter and longer events. Although the 5K pace (5KP) intervals in this workout target Zone 4, your 5KP may fall outside this zone, so do your best to complete the intervals at a pace you could sustain for 5K in race conditions regardless of zone. Unlike most 80/20 workouts, this one is distance-based rather than time-based because its job is to give runners of all ability levels equal preparation for the 5K race distance. Any time associated with this session is a broad estimate. Note that the 0.1 km Zone 1 segment following each 5KP segment is actually intended as passive rest, so just walk for 100 meters.",13405.3603515625,,,,,1.17456579208374,3.17000007629395,,164,,142,172,,,0.857898866457139,96.16,18,19,21,10,2,1,0,,,,,,,,,,,,,,,1
RRe12 (Recovery Run),Run,30:00 in Zone 1,0.5,,2023-06-09,"The 80/20 Rule of intensity balance is based on heart-rate data collected from elite runners. Due to factors such as cardiac lag and cardiac drift, runners tend to spend more time at higher intensities as measured by heart than they do as measured by pace or power. So, if you training mainly by pace or power, you will probably find that you're doing slightly more than 80 percent of your running at low intensity in this program.",1634.14001464844,,,,,0.176168605685234,2.57699990272522,,163,,144,154,,,0.750059919233225,10.53,1,3,7,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-10,"In addition to having the freedom to use any Foundation Run to conduct a formal Talk Test for the purpose of updating your zones, you may also perform an informal Talk Test at any point without a Foundation Run just to confirm that you aren't pushing too hard. If you can speak roughly 50 syllables aloud comfortably, you're okay.",9833.73046875,,,,,1.00583946704865,2.71600008010864,,167,,139,166,,,0.744125263095295,61.71,14,35,8,3,0,0,0,,,,,,,,,,,,,,,
RL34 (Long Run),Run,1 km (0.6 mile) Zone 1 28 km (16 miles) in Zone 2,2.72333333333333,29000,2023-06-11,"To feel and perform your best in longer runs like this one, drink according to thirst throughout the run and consume at least 30 grams of carbohydrate per hour.",29007.119140625,,,,,2.8223340511322,2.85500001907349,,169,,150,174,,,0.792552472417754,201.56,9,33,63,55,7,2,0,,,,,,,,,,,,,,,5
RP9 (Progression Run),Run,5:00 in Zone 1 30:00 in Zone 2 12:00 @ SSP 6:00 @ LTP 3:00 @ CV 5:00 in Zone 1,1.01666666666667,,2023-06-13,"Similar to Fast Finish Runs, Progression Runs teach the body to run faster on tired legs. This Progression Run features a three-step progression that hits the following intensities: SSP = Steady State Pace, which falls between the high end of Zone X and the low end of Zone 3 and is the fastest pace you could sustain for 2 hours LTP = Lactate Threshold Pace, which falls at the high end of Zone 3 and is the fastest pace you could sustain for 1 hour CV = Critical Velocity, which falls within Zone 4 and is the fastest pace you could sustain for 30 minutes",12254.9501953125,,,,,1.01737785339355,3.34599995613098,,176,,156,173,,,0.91360078185881,94.15,0,1,13,43,2,2,0,,,,,,,,,,,,,,,1
RRe11 (Recovery Run),Run,25:00 in Zone 1,0.416666666666667,,2023-06-13,"""Everything that happens is either endurable or not. If it's endurable, then endure it. Stop complaining."" --Marcus Aurelius",1038.92004394531,,,,,0.120322771370411,2.39800000190735,,156,,145,164,,,0.656636263320191,5.47,2,1,1,3,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-14,"If you haven't done a talk test recently fo the purpose of updating your zones, consider doing one today or soon.",10576.0703125,,,,,1.00205421447754,2.93199992179871,,168,,147,168,,,0.819074699074942,74.49,3,26,17,11,4,0,0,,,,,,,,,,,,,,,5
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-15,"If your training feels ""too easy"" so far, that's probably a good thing. Runners who make the mistake of doing all the training they can handle six weeks into marathon training tend to find themselves in over their head several weeks later.",10981.75,,,,,1.01566886901855,3.00300002098083,,166,,145,166,,,0.818689380633532,75.43,6,16,31,7,0,0,0,,,,,,,,,,,,,,,
RLS24 (Speed Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 12 x 0:45 in Zone 5/1:45 in Zone 1 20:00 in Zone 1,1.16666666666667,,2023-06-16,"Speed Intervals Runs will not make you a faster sprinter, but they will improve your running economy and your ability to resist fatigue at faster speeds. Studies have shown that even ultrarunners benefit from including some speed intervals in their training. Speed Intervals are necessarily quite short. For this reason, you'll need to rely mainly in perceived effort to regulate your effort. Specifically, aim for a 9-out-of effort for the workout as a whole. It's a good idea to include some form drills in your warm-up before doing Speed Intervals. These will help you perform better and reduce the risk of muscle/tendon strains. Here are links to some suggested drills: A Skips https://www.youtube.com/watch?v=3V6FikqxUrw B Skips https://www.youtube.com/watch?v=rF93P6EOpUo High Knees https://www.youtube.com/watch?v=RG1_6AYBbow Butt Kicks https://www.youtube.com/watch?v=n_AiN4nzSl8",13494.650390625,,,,,1.16746079921722,3.21099996566772,,170,,147,177,,,0.853315946531345,94.61,6,26,21,10,3,2,2,,,,,,,,,,,,,,,5
RRe11 (Recovery Run),Run,25:00 in Zone 1,0.416666666666667,,2023-06-16,"You might be wondering why your second runs always come on days when you do your hardest workouts of the week. It's because you will recover better overall if a large disparity is maintained between your heavier and lighter training days. If your second runs were scheduled on days where your first run was another Foundation Run, these days wouldn't be all that much lighter than your workout days.",1852.89001464844,,,,,0.1828852891922,2.81399989128113,,168,,145,154,,,0.822355022624649,13.14,1,4,6,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-17,Remember that you can replace any Foundation Run with a nonimpact cardio cross-training session of similar duration and intensity as needed.,9939.16015625,,,,,1.00054466724396,2.7590000629425,,170,,147,165,,,0.788789126949032,68.96,4,22,18,14,2,0,0,,,,,,,,,,,,,,,
RFF41 (Zone 3 Fast Finish Run),Run,5:00 in Zone 1 1:25:00 in Zone 2 10:00 in Zone 3,1.66666666666667,,2023-06-18,Today's Fast Finish Run marks the end of another three-week step cycle. Next week your training load you resume its pattern of incremental increase.,18321.029296875,,,,,1.66803646087646,3.05100011825562,,172,,151,176,,,0.850901154217844,135.56,8,16,36,25,6,8,1,,,,,,,,,,,,,,,3
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-06-19,,7035.3701171875,,,,,0.675646066665649,2.89199995994568,,165,,147,172,,,0.791881782873368,46.53,2,14,15,8,0,1,0,,,,,,,,,,,,,,,
R10K3 (10K Pace Intervals),Run,1 km in Zone 1 3 km in Zone 2 8 x (1 km @ 10KP/0.1 km in Zone 1) 4 km in Zone 1,1.49305555555556,16800,2023-06-20,"10K Pace Intervals offer essential practice at race pace during 10K training but are also a useful fitness builder in training for shorter and longer events. Although the 10K pace (10KP) intervals in this workout target Zone 4, your 10KP may fall outside this zone, so do your best to complete the intervals at a pace you could sustain for 10K in race conditions regardless of zone. Unlike most 80/20 workouts, this one is distance-based rather than time-based because its job is to give runners of all ability levels equal preparation for the 10K race distance. Any time associated with this session is a broad estimate. Note that the 0.1 km Zone 1 segment following each 10KP segment is actually intended as passive rest, so just walk for 100 meters.",16810.98046875,,,,,1.41650688648224,3.29699993133545,,172,,157,183,,,0.90144287598115,128.54,7,10,20,19,4,7,19,,,,,,,,,,,,,,,
RRe12 (Recovery Run),Run,30:00 in Zone 1,0.5,,2023-06-20,"""Fast running isn’t forced. You have to relax and let the run come out of you.” --Desiree Linden",699.869995117188,,,,,0.134334728121758,1.44700002670288,,103,,114,136,,,0.423930792184366,2.54,8,0,0,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-21,"Where running gear is concerned, you tend to get what you pay for. Your running deserves the best shoes, clothing, and other gear that your budget allows. Don't make do with lesser products just because you may feel you're too slow or too new in the sport to merit better!",10571.6103515625,,,,,1.00083839893341,2.93400001525879,,166,,149,174,,,0.807109542660656,72.27,3,12,26,17,1,1,0,,,,,,,,,,,,,,,
RF31 (Foundation Run),Run,5:00 in Zone 1 1:05:00 in Zone 2,1.16666666666667,,2023-06-22,Note the slight increase in the duration of today's Foundation Run relative to prior ones.,13019.8701171875,,,,,1.16738784313202,3.09800004959106,,168,,144,164,,,0.843893996240414,92.49,5,27,31,7,0,0,0,,,,,,,,,,,,,,,3
RDI12 (Descending Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 3:00 @ MAS/2:00 in Zone 1 2:00 @ MAS/1:20 in Zone 1 1:00 @ MAS/0:45 in Zone 1 0:45 @ MAS/0:30 in Zone 1 0:30 @ MAS/0:20 in Zone 1 2:00 @ MAS/1:20 in Zone 1 1:00 @ MAS/0:45 in Zone 1 0:45 @ MAS/0:30 in Zone 1 0:30 @ MAS/0:20 in Zone 1 20:00 in Zone 1,0.988888888888889,,2023-06-23,"Developed by scientists at the University of Udine in Italy, Descending Intervals are proven to increase the amount of time an athlete is able to spend above 90% of VO2max intensity within a single session. This makes the workout a potent way to boost aerobic capacity (aka VO2max). The heart of the workout is a set of five efforts of decreasing length that target Maximal Aerobic Speed (MAS), which is the fastest pace a runner can sustain for about 6 minutes and falls at the high end of Zone 4. Each MAS effort is followed by a Zone 1 active recovery that's two-thirds the duration of the preceding effort. Runners have a natural tendency to adjust their effort to the duration of a segment, automatically running shorter segments faster than longer ones. In Descending Intervals Runs like this one, though, you should run each Zone 4 segment at the same speed even though they get shorter.",11550.4404296875,,,,,0.991313874721527,3.23699998855591,,172,,150,185,,,0.875277003577051,84.22,5,12,24,12,3,2,2,,,,,,,,,,,,,,,5
RRe12 (Recovery Run),Run,30:00 in Zone 1,0.5,,2023-06-23,"The vast majority of elite runners do their harder run of the day first, which is why your harder runs come first on double-run days. If it works better for your schedule to do your easy run first, however, that's okay provided there's a few hours' separation between the two sessions.",1372.85998535156,,,,,0.157131940126419,2.42700004577637,,152,,147,165,,,0.69114068094859,7.94,1,2,2,4,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-24,"The more you enjoy your training, the more you'll get out of it. Give yourself full permission to make your training as enjoyable as possible in selecting routes, training partners, music, etc.",9800.900390625,,,,,1.00102889537811,2.72000002861023,,167,,147,164,,,0.78497238130447,68.38,6,15,22,16,0,0,0,,,,,,,,,,,,,,,
RMP3 (Marathon Pace Run),Run,1 km (0.6 mile) Zone 1 2 km (1.2 miles) in Zone 2 7 x 1.5 km (0.9 mile) @ MP/1.5 km (0.9 mile) in Zone 2 2 km (1.2 miles) in Zone 1,2.39638888888889,26000,2023-06-25,"Marathon Pace Runs are intended to help runners become more efficient and comfortable at marathon pace (MP). They can also be used outside of marathon training to provide an endurance stimulus that's more challenging than a standard long run. Complete the Marathon Pace segments of this run at a speed you could sustain for a full marathon in race conditions. If you're not sure what this is, just do your best and focus on using the run to get a clearer sense of your current marathon pace. Note that Marathon Pace Runs are always distance-based. Any time associated with this session is a broad estimate.",26011.8203125,,,,,2.46555113792419,2.93099999427795,,171,,155,180,,,0.805465411174003,181.28,7,25,31,40,14,21,10,,,,,,,,,,,,,,,7
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-06-26,,,,,,*06/27/2023 Joseph Platta: Biked for an hour*,0.666666666666667,2.47041666666667,,,,,,,,0.680025266764177,33.81,,,,,,,,,,,,,,,,,,,,,,5
RT54 (Tempo Run),Run,5:00 in Zone 1 15:00 in Zone 2 18:00 in Zone 3 5:00 in Zone 1 18:00 in Zone 3 20:00 in Zone 1,1.35,,2023-06-27,"Tempo Runs feature extended efforts in Zone 3. They are a proven way to increase the lactate threshold (LT) and improve performance at a wide range of race distances. To get the most out of Tempo Runs like this one, you'll need to keep your zones current so you know the pace/heart rate/power to target.",16218,,,,,1.3504935503006,3.33599996566772,,175,,155,174,,,0.909820330378163,124.86,5,12,17,25,13,9,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-28,"If you're interested in a nutritional companion to this training plan, consider picking up a copy of Coach Matt's book THE ENDURANCE DIET.",10312.5703125,,,,,1.00033974647522,2.86400008201599,,166,,144,168,,,0.797436895451616,70.5,5,31,19,4,1,0,0,,,,,,,,,,,,,,,
RF31 (Foundation Run),Run,5:00 in Zone 1 1:05:00 in Zone 2,1.16666666666667,,2023-06-29,"Research has shown that the specific types of goals runners set have varying effects on training and racing outcomes. In general, goals that come from within and are very personal are more motivating than goals that are arbitrary or imposed by others. Make sure your goal means something to you!",7232.14013671875,,,,,0.607834458351135,3.3050000667572,,170,,153,174,,,0.900582743019498,53.96,3,4,7,20,1,2,0,,,,,,,,,,,,,,,
RVI9 (Variable-Intensity Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 5 x (4 x 0:30 @ MAS/0:45 @ LTP)/2:30 in Zone 1 20:00 in Zone 1,1.25,,2023-06-30,"Variable-Intensity Interval Runs feature an unusual two-step interval format that is proven to enable athletes to spend more time at or near VO2max intensity than they do in traditional, single-pace intervals. The result is bigger gains in aerobic capacity/VO2max. The first 30 seconds of each Variable-Pace Interval are run at Maximal Aerobic Speed (MAS), which is the fastest pace you could sustain for about 6 minutes, and the next 45 seconds are run at Lactate Threshold Pace, which aligns with the top end of Zone 3. These two steps are repeated four times before you dial back to Zone 1 to recover. Variable-Intensity Intervals are almost as challenging mentally as they are physically. Effective execution does not require that you run each and every segment at just the right intensity, but it does require that you make your best effort to do so, and this effort demands steady focus.",9946.509765625,,,,,0.808807790279388,3.41599988937378,,174,,163,178,,,0.929908908800988,77.13,1,4,1,16,8,16,3,,,,,,,,,,,,,,,
RL36 (Long Run),Run,1 km (0.6 mile) Zone 1 32 km (18.4 miles) in Zone 2,3.09638888888889,33000,2023-07-02,The importance of Long Runs in marathon training is somewhat exaggerated. Research has shown that both average and peak weekly mileage have a bigger impact on marathon performance than does the distance of the longest single run.,33009.1015625,,,,,3.24085807800293,2.8289999961853,,168,,149,175,,,0.781122032781704,225.61,16,47,71,47,4,7,1,,,,,,,,,,,,,,,5
RFR48 (Fartlek Run),Run,5:00 in Zone 1 15:00 in Zone 2 1:00 in Zone 4 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 3:00 in Zone X 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 1:00 in Zone 4 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 3:00 in Zone X 1:00 in Zone 2 2:00 in Zone 3 1:00 in Zone 2 1:00 in Zone 4 1:00 in Zone 2 20:00 in Zone 1,1.1,,2023-07-04,Today's Fartlek Run is a more challenging version of the one you did in Week 3.,13313.1201171875,,,,,1.10062777996063,3.35999989509583,,175,,156,179,,,0.912562975818989,101.85,3,6,18,18,11,7,3,,,,,,,,,,,,,,,3
RRe12 (Recovery Run),Run,30:00 in Zone 1,0.5,,2023-07-04,The duration of your second runs drops back to 30 minutes this week.,849.780029296875,,,,,0.079435832798481,2.97199988365173,,171,,153,163,,,0.85791366471626,6.1,0,0,1,3,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-07-05,"""Everything that happens is either endurable or not. If it's endurable, then endure it. Stop complaining."" --Marcus Aurelius",10724.419921875,,,,,1.00053691864014,2.97699999809265,,169,,147,172,,,0.826583538882098,75.71,8,15,17,16,2,1,0,,,,,,,,,,,,,,,
