Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
Running,Run,,,,2023-12-16,,5023.169921875,,,,,0.485509723424911,2.87400007247925,,168,,155,179,,,0.745254955955028,29.37,2,5,8,11,3,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-12-20,,5061.43017578125,,,,,0.421866655349731,3.33299994468689,,173,,154,171,,,0.895178956642874,36.66,1,5,8,11,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2023-12-21,,11568.48046875,,,,,0.989773094654083,3.24699997901917,,172,,156,169,,,0.827990481772262,75.15,2,5,22,30,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-03,,16334.3701171875,,,,,1.49029862880707,3.04500007629395,,171,,158,182,,,0.793681249068363,105.08,3,6,17,54,8,1,1,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-04,,4930.68017578125,,,,,0.472401678562164,2.8989999294281,,172,,158,179,,,0.751589485350944,29.04,2,4,3,11,6,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-05,,6443.91015625,,,,,0.561797201633453,3.18600010871887,,172,,155,167,,,0.818328910618728,41.22,1,3,10,19,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-06,,8077.7001953125,,,,,0.700673878192902,3.20199990272522,,174,,156,170,,,0.832711450061259,53.36,1,4,14,22,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-07,,6442.52978515625,,,,,0.56796807050705,3.15100002288818,,172,,156,168,,,0.820581659197908,41.76,1,1,9,23,0,0,0,,,,,,,,,,,,,,,
Strength,Strength,,,,2024-02-07,,0,,,,,0.363722771406174,0,,,,101,126,,,0.597440642683839,14.02,22,0,0,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-08,,8321.48046875,,,,,0.710249960422516,3.25500011444092,,175,,158,173,,,0.842026868150847,55.31,1,4,10,27,2,0,0,,,,,,,,,,,,,,,
Strength,Strength,,,,2024-02-08,,0,,,,,0.465898871421814,0,,,,113,136,,,0.606178223108379,18.6,28,0,0,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-09,,8354.5400390625,,,,,0.731979727745056,3.17000007629395,,175,,150,166,,,0.823293845807946,54.57,4,8,24,8,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-10,,7298.77978515625,,,,,0.625219702720642,3.24300003051758,,174,,154,175,,,0.844189416485531,48.79,1,6,17,11,1,2,0,,,,,,,,,,,,,,,
Strength,Strength,,,,2024-02-10,,0,,,,,0.334631651639938,0,,,,95,119,,,0.580151257235237,12.14,20,0,0,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-13,,9663.66015625,,,,,1.0019074678421,2.67899990081787,,166,,133,150,,,0.695450036389085,53.68,44,16,0,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-14,,9958.51953125,,,,,0.959026694297791,2.8840000629425,,168,,149,169,,,0.748625649574667,59.52,6,20,23,8,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-16,,5902.89013671875,,,,,0.576365292072296,2.84500002861023,,169,,150,165,,,0.741402880788907,34.62,4,4,21,6,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-20,,6447.14990234375,,,,,0.495983600616455,3.61100006103516,,178,,164,186,,,0.929132826427799,46.65,2,3,4,7,4,5,5,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-26,,9663.26953125,,,,,0.834326922893524,3.21700000762939,,169,,152,182,,,0.834355661384234,64.08,7,9,12,18,3,0,1,,,,,,,,,,,,,,,
Running,Run,,,,2024-02-27,,9664.01953125,,,,,0.861403048038483,3.1159999370575,,172,,151,178,,,0.811433618344687,62.57,7,12,15,16,1,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-02,,7204.5,,,,,0.549533069133759,3.64199995994568,,180,,161,186,,,0.942095559853807,53.22,1,3,6,14,2,2,5,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-03,,8225.2900390625,,,,,0.694620013237,3.28900003433228,,172,,153,167,,,0.838934053723974,53.65,3,5,19,15,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-04,,3226.81005859375,,,,,0.295693039894104,3.03099989891052,,168,,147,172,,,0.786605043739521,19.67,1,8,8,1,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-06,,8251.73046875,,,,,0.780821919441223,2.93600010871887,,168,,151,179,,,0.748190884931707,48.14,2,12,21,9,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-07,,8268.490234375,,,,,0.782175838947296,2.93600010871887,,169,,144,161,,,0.760900175552664,49.9,5,33,9,1,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-09,,3471.09008789063,,,,,0.288570553064346,3.34100008010864,,173,,153,168,,,0.861125730378834,23.01,1,4,5,8,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-10,,9989.91015625,,,,,0.897006332874298,3.09400010108948,,172,,153,166,,,0.80028097500223,63.44,1,6,37,10,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-12,,10049.6396484375,,,,,0.938292503356934,2.97499990463257,,168,,145,163,,,0.773089980850898,62.03,3,41,12,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-13,,8790.2001953125,,,,,0.817550539970398,2.98699998855591,,170,,150,173,,,0.77768872783865,54.52,3,13,29,3,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-16,,6443.81982421875,,,,,0.58162134885788,3.07800006866455,,168,,148,163,,,0.787727968942477,39.45,5,6,17,7,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-18,,9117.6396484375,,,,,0.789203643798828,3.20900011062622,,169,,149,167,,,0.837652738796038,60.96,4,13,23,8,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-19,,8199.3896484375,,,,,0.704103350639343,3.23499989509583,,169,,151,176,,,0.827558599059611,52.98,3,9,24,6,0,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-20,,8651.5703125,,,,,0.755080282688141,3.18300008773804,,170,,155,168,,,0.813563532668256,54.95,2,2,19,22,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-22,,6447.52001953125,,,,,0.549621403217316,3.2590000629425,,171,,153,167,,,0.848704150808494,43.21,3,2,15,14,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-24,,7422.89990234375,,,,,0.660171627998352,3.12299990653992,,169,,151,165,,,0.80810470082243,47.31,2,7,21,9,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-26,,11280.8701171875,,,,,0.990910291671753,3.16199994087219,,169,,156,179,,,0.818230893297218,73.45,3,4,21,27,2,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-27,,9664.3798828125,,,,,0.86094331741333,3.11800003051758,,169,,145,162,,,0.810396286418092,62.41,5,25,21,1,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-30,,8860.2197265625,,,,,0.727999448776245,3.38100004196167,,175,,157,170,,,0.879976746250457,61.96,1,2,10,31,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-03-31,,3229.6201171875,,,,,0.251383066177368,3.56900000572205,,180,,155,173,,,0.92979690708098,23.23,1,3,2,6,3,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-03,,8055.919921875,,,,,0.716025531291962,3.125,,172,,153,169,,,0.814244221114216,52.22,2,9,14,17,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-04,,6625.4501953125,,,,,0.567739725112915,3.24200010299683,,174,,150,165,,,0.834340037187034,43.21,3,6,17,8,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-05,,8375.2001953125,,,,,0.729357242584229,3.19000005722046,,176,,153,171,,,0.826448291249257,54.76,2,6,19,16,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-07,,3304.53002929688,,,,,0.28426805138588,3.22900009155273,,169,,154,169,,,0.840655006427152,21.56,1,4,3,10,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-08,,10059.8095703125,,,,,0.868537783622742,3.21700000762939,,171,,159,176,,,0.838941567619769,67.49,1,2,9,37,2,1,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-09,,8272.7099609375,,,,,0.736474752426147,3.11999988555908,,170,,153,163,,,0.8027442290179,52.17,1,5,27,10,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-11,,8340.509765625,,,,,0.717792510986328,3.2279999256134,,172,,151,164,,,0.831033101946324,54.48,1,5,34,3,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-18,,5016.56982421875,,,,,0.429453909397125,3.24499988555908,,171,,154,169,,,0.840859380640066,32.93,1,2,12,10,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-20,,7239.0498046875,,,,,0.617765545845032,3.25500011444092,,172,,148,174,,,0.842806569201551,48.01,5,10,14,6,2,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-21,,11696.599609375,,,,,0.976463377475739,3.32699990272522,,174,,155,168,,,0.856535225087461,79.31,1,4,34,20,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-22,,6446.39013671875,,,,,0.559302747249603,3.20199990272522,,171,,152,169,,,0.826960901699001,41.81,2,4,18,9,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-23,,6655.8701171875,,,,,0.614187479019165,3.00999999046326,,171,,147,172,,,0.786351167005607,41.56,4,16,8,8,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-25,,7046.240234375,,,,,0.634171426296234,3.08599996566772,,170,,146,170,,,0.801533920575256,44.62,4,17,12,4,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-26,,11617.990234375,,,,,1.0115522146225,3.19000005722046,,172,,149,163,,,0.822745141608906,75.9,2,24,29,6,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-04-29,,7464.31005859375,,,,,0.63557106256485,3.26200008392334,,170,,148,162,,,0.848497089780275,50.09,3,10,20,4,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-02,,6445.0400390625,,,,,0.587394773960114,3.04800009727478,,167,,149,181,,,0.797042770134145,40.8,13,1,1,13,2,4,2,,,,,,,,,,,,,,,
Strength,Strength,,,,2024-05-02,,0,,,,,0.263437509536743,0,,,,132,152,,,0.633257390612964,11.33,12,3,0,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-03,,11507.1796875,,,,,1.05454504489899,3.03099989891052,,169,,149,176,,,0.790053445551794,73.01,3,29,20,10,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-05,,7404.7998046875,,,,,0.701300501823425,2.93300008773804,,168,,135,153,,,0.765117147801159,45.08,21,20,1,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-06,,7001.990234375,,,,,0.594099164009094,3.2739999294281,,173,,147,179,,,0.849674456201074,46.88,2,18,12,2,0,0,1,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-07,,11755.7998046875,,,,,1.075279712677,3.03699994087219,,172,,149,164,,,0.786383137474328,73.82,2,23,34,5,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-08,,11430.66015625,,,,,1.01921200752258,3.11500000953674,,171,,150,164,,,0.801083215682496,72.49,2,19,31,9,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-09,,6858.60986328125,,,,,0.653157472610474,2.91700005531311,,166,,134,159,,,0.761097299623876,41.46,16,18,5,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-10,,8761.599609375,,,,,0.867743611335754,2.8050000667572,,166,,134,169,,,0.732289531047593,51.32,22,14,10,5,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-11,,6665.22998046875,,,,,0.556011378765106,3.32999992370605,,174,,148,163,,,0.864228778544416,45.32,2,9,19,3,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-12,,18724.669921875,,,,,1.80924415588379,2.875,,170,,136,152,,,0.74436430343364,112.69,57,49,3,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-12,,920.299987792969,,,,,0.0873750001192093,2.92600011825562,,174,,141,152,,,0.743085776476414,5.02,1,4,1,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-13,,5433.2998046875,,,,,0.51346892118454,2.93899989128113,,169,,139,161,,,0.773234357956579,33.44,13,5,10,2,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-14,,11388.8095703125,,,,,0.995077788829803,3.17899990081787,,172,,147,164,,,0.821113646360471,74.35,6,20,27,6,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-15,,11399.490234375,,,,,1.04817414283752,3.02099990844727,,170,,151,167,,,0.775025653738113,69.8,4,11,38,10,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-16,,8055.41015625,,,,,0.747308611869812,2.99399995803833,,170,,142,158,,,0.781754597412236,50.24,7,33,5,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-18,,7327.97998046875,,,,,0.754313886165619,2.69899988174438,,164,,138,163,,,0.694598611957415,40.07,20,19,4,2,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-21,,6443.91015625,,,,,0.539703071117401,3.31699991226196,,170,,167,188,,,0.864040812245115,43.98,1,1,4,10,3,7,7,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-24,,6683.919921875,,,,,0.603407263755798,3.07699990272522,,168,,157,182,,,0.795425151913441,41.74,2,3,9,16,2,2,1,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-28,,11375.9501953125,,,,,1.03921782970428,3.04099988937378,,169,,145,158,,,0.784696683169948,70.99,4,43,15,0,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-29,,11522.990234375,,,,,1.06484496593475,3.00600004196167,,170,,145,158,,,0.779939629609831,71.9,6,38,18,1,0,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-30,,5438.85009765625,,,,,0.492038875818253,3.0699999332428,,172,,144,181,,,0.799240301812075,34.22,10,6,8,1,1,2,2,,,,,,,,,,,,,,,
Running,Run,,,,2024-05-31,,11420.76953125,,,,,1.08943021297455,2.91199994087219,,168,,150,173,,,0.756350927855127,69.15,3,17,40,5,1,0,0,,,,,,,,,,,,,,,
Running,Run,,,,2024-06-01,,9964.3203125,,,,,0.957836389541626,2.89000010490417,,169,,144,160,,,0.753816915118235,60.24,5,40,11,2,0,0,0,,,,,,,,,,,,,,,